symbol,t0,t0_bar,t0_kaydi,i,tepki,tepki_ham,tepki_evren,d_prev,d_next,evren_payda,neden,fazla20,fazla20_neden,payda20_min,fazla60,fazla60_neden,payda60_min
AAPL,2010-01-25,2010-01-25,0.0,1525.0,0.040562,0.042493,0.00193,2010-01-22,2010-01-26,206.0,,-0.05511,,206.0,0.12238,,206.0
AAPL,2010-04-20,2010-04-20,0.0,1584.0,0.041154,0.049887,0.008732,2010-04-19,2010-04-21,206.0,,0.033532,,206.0,0.041417,,206.0
AAPL,2010-07-20,2010-07-20,0.0,1647.0,0.03577,0.035348,-0.000422,2010-07-19,2010-07-21,209.0,,-0.034783,,209.0,0.069199,,209.0
AAPL,2010-10-18,2010-10-18,0.0,1710.0,-0.0062,-0.016904,-0.010704,2010-10-15,2010-10-19,212.0,,-0.050792,,212.0,-0.01989,,212.0
AAPL,2011-01-18,2011-01-18,0.0,1773.0,-0.017832,-0.028112,-0.010281,2011-01-14,2011-01-19,213.0,,0.017584,,213.0,-0.05439,,213.0
AAPL,2011-04-20,2011-04-20,0.0,1838.0,0.017614,0.038111,0.020497,2011-04-19,2011-04-21,214.0,,-0.044916,,213.0,0.087897,,213.0
AAPL,2011-07-19,2011-07-19,0.0,1899.0,0.019259,0.035206,0.015947,2011-07-18,2011-07-20,216.0,,0.08145,,216.0,0.122912,,216.0
AAPL,2011-10-18,2011-10-18,0.0,1963.0,-0.058134,-0.050667,0.007468,2011-10-17,2011-10-19,216.0,,-0.081152,,216.0,-0.039777,,216.0
AAPL,2012-01-24,2012-01-24,0.0,2029.0,0.033948,0.044532,0.010584,2012-01-23,2012-01-25,216.0,,0.119061,,217.0,0.26791,,216.0
AAPL,2012-04-24,2012-04-24,0.0,2092.0,0.050372,0.067091,0.016719,2012-04-23,2012-04-25,217.0,,-0.035967,,217.0,0.014011,,217.0
AAPL,2012-07-24,2012-07-24,0.0,2155.0,-0.038116,-0.047752,-0.009635,2012-07-23,2012-07-25,221.0,,0.082105,,221.0,0.031361,,221.0
AAPL,2012-10-25,2012-10-25,0.0,2221.0,-0.023498,-0.020881,0.002617,2012-10-24,2012-10-26,222.0,,-0.035998,,220.0,-0.387006,,220.0
AAPL,2013-01-23,2013-01-23,0.0,2279.0,-0.1148,-0.107598,0.007201,2013-01-22,2013-01-24,225.0,,-0.021098,,225.0,-0.193004,,223.0
AAPL,2013-04-23,2013-04-23,0.0,2341.0,0.002216,0.016854,0.014638,2013-04-22,2013-04-24,225.0,,0.020645,,225.0,-0.012797,,224.0
AAPL,2013-07-23,2013-07-23,0.0,2404.0,0.041705,0.03283,-0.008875,2013-07-22,2013-07-24,225.0,,0.149751,,225.0,0.090454,,225.0
AAPL,2013-10-28,2013-10-28,0.0,2472.0,-0.023037,-0.018095,0.004942,2013-10-25,2013-10-29,226.0,,0.00238,,226.0,0.028345,,221.0
AAPL,2014-01-27,2014-01-27,0.0,2533.0,-0.077487,-0.072308,0.005179,2014-01-24,2014-01-28,226.0,,-0.012747,,226.0,-0.024986,,226.0
AAPL,2014-04-23,2014-04-23,0.0,2593.0,0.070302,0.06793,-0.002371,2014-04-22,2014-04-24,227.0,,0.061692,,227.0,0.104022,,226.0
AAPL,2014-07-22,2014-07-22,0.0,2655.0,0.029775,0.034923,0.005148,2014-07-21,2014-07-23,227.0,,0.029325,,227.0,0.060635,,227.0
AAPL,2014-10-20,2014-10-20,0.0,2718.0,0.012126,0.04914,0.037014,2014-10-17,2014-10-21,229.0,,0.05891,,229.0,-0.007737,,229.0
AAPL,2015-01-27,2015-01-27,0.0,2785.0,0.042938,0.019809,-0.023129,2015-01-26,2015-01-28,229.0,,0.06019,,229.0,0.063051,,229.0
AAPL,2015-04-27,2015-04-27,0.0,2847.0,0.006049,0.002149,-0.0039,2015-04-24,2015-04-28,231.0,,-0.008195,,231.0,-0.038443,,231.0
AAPL,2015-07-21,2015-07-21,0.0,2906.0,-0.04731,-0.051787,-0.004476,2015-07-20,2015-07-22,234.0,,-0.074432,,234.0,-0.077053,,234.0
AAPL,2015-10-27,2015-10-27,0.0,2975.0,0.028045,0.034698,0.006654,2015-10-26,2015-10-28,234.0,,-0.001986,,234.0,-0.060132,,234.0
AAPL,2016-01-26,2016-01-26,0.0,3036.0,-0.067935,-0.060338,0.007597,2016-01-25,2016-01-27,235.0,,-0.006802,,235.0,-0.008419,,235.0
AAPL,2016-04-26,2016-04-26,0.0,3099.0,-0.081019,-0.069281,0.011739,2016-04-25,2016-04-27,235.0,,0.008628,,235.0,-0.025872,,235.0
AAPL,2016-07-26,2016-07-26,0.0,3162.0,0.057236,0.057518,0.000283,2016-07-25,2016-07-27,235.0,,0.041666,,235.0,0.142744,,235.0
AAPL,2016-10-25,2016-10-25,0.0,3226.0,-0.011651,-0.017341,-0.00569,2016-10-24,2016-10-26,235.0,,-0.074952,,235.0,-0.043554,,235.0
AAPL,2017-01-31,2017-01-31,0.0,3292.0,0.059545,0.058533,-0.001012,2017-01-30,2017-02-01,236.0,,0.04017,,236.0,0.062596,,236.0
AAPL,2017-05-02,2017-05-02,0.0,3355.0,0.004548,0.003274,-0.001274,2017-05-01,2017-05-03,237.0,,0.017445,,237.0,-0.021298,,237.0
AAPL,2017-08-01,2017-08-01,0.0,3418.0,0.056674,0.056482,-0.000192,2017-07-31,2017-08-02,238.0,,0.045213,,238.0,-0.055778,,238.0
