date,open,high,low,close,volume
2005-08-11,3.25,3.31,3.2,3.24,76671500.0
2005-08-12,3.25,3.6,3.25,3.59,29113500.0
2005-08-15,3.55,3.57,3.45,3.46,10596500.0
2005-08-16,3.38,3.46,3.38,3.43,5141000.0
2005-08-17,3.43,3.44,3.36,3.37,6423500.0
2005-08-18,3.39,3.4,3.25,3.27,12727000.0
2005-08-19,3.3,3.34,3.25,3.32,3029500.0
2005-08-22,3.33,3.4,3.28,3.4,2909500.0
2005-08-23,3.5,3.59,3.46,3.51,13466000.0
2005-08-24,3.5,3.55,3.47,3.5,3083000.0
2005-08-25,3.54,3.55,3.48,3.49,4667000.0
2005-08-26,3.51,3.52,3.48,3.49,2704000.0
2005-08-29,3.38,3.44,3.37,3.4,5458000.0
2005-08-30,3.42,3.48,3.39,3.41,2581000.0
2005-08-31,3.41,3.41,3.32,3.36,3004500.0
2005-09-01,3.37,3.37,3.11,3.25,12468500.0
2005-09-02,3.28,3.32,3.2,3.21,5748500.0
2005-09-06,3.24,3.29,3.23,3.28,2726500.0
2005-09-07,3.28,3.29,3.2,3.24,3643500.0
2005-09-08,3.25,3.3,3.25,3.26,2558500.0
2005-09-09,3.31,3.32,3.28,3.31,2468500.0
2005-09-12,3.29,3.3,3.2,3.22,3300500.0
2005-09-13,3.22,3.22,3.14,3.18,3798500.0
2005-09-14,3.15,3.17,3.13,3.14,2055500.0
2005-09-15,3.15,3.16,3.01,3.02,6004000.0
2005-09-16,3.01,3.07,2.91,3.06,9555000.0
2005-09-19,3.05,3.19,3.04,3.1,5559000.0
2005-09-20,3.1,3.21,3.09,3.16,4178000.0
2005-09-21,3.14,3.14,2.94,3.0,8313500.0
2005-09-22,3.0,3.01,2.9,2.9,7184000.0
2005-09-23,2.9,3.14,2.9,3.12,4830500.0
2005-09-26,3.12,3.16,3.05,3.1,7826500.0
2005-09-27,3.09,3.11,3.07,3.09,4505000.0
2005-09-28,3.08,3.08,3.0,3.03,3055000.0
2005-09-29,3.04,3.1,2.96,3.0,6141000.0
2005-09-30,3.01,3.02,2.93,2.96,12109000.0
2005-10-03,2.97,2.97,2.87,2.9,4279000.0
2005-10-04,2.89,2.9,2.81,2.81,2002000.0
2005-10-05,2.8,2.8,2.57,2.63,10826000.0
2005-10-06,2.64,2.7,2.62,2.68,4121000.0
2005-10-07,2.76,2.76,2.69,2.7,2174500.0
2005-10-10,2.71,2.73,2.49,2.51,2443000.0
2005-10-11,2.53,2.53,2.4,2.43,3256500.0
2005-10-12,2.42,2.44,2.36,2.39,2545500.0
2005-10-13,2.39,2.39,2.24,2.26,3555000.0
2005-10-14,2.27,2.5,2.26,2.47,7229500.0
2005-10-17,2.47,2.48,2.42,2.44,3007000.0
2005-10-18,2.44,2.44,2.39,2.4,2575000.0
2005-10-19,2.42,2.45,2.39,2.43,5052000.0
2005-10-20,2.44,2.62,2.44,2.56,7568500.0
2005-10-21,2.57,2.61,2.55,2.59,4029500.0
2005-10-24,2.59,2.64,2.59,2.63,2160000.0
2005-10-25,2.65,2.68,2.62,2.64,2629500.0
2005-10-26,2.63,2.67,2.59,2.62,2839500.0
2005-10-27,2.61,2.64,2.59,2.6,810000.0
2005-10-28,2.64,2.69,2.64,2.67,1664500.0
2005-10-31,2.7,2.8,2.7,2.76,3915000.0
2005-11-01,2.83,2.85,2.71,2.72,2830000.0
2005-11-02,2.72,2.75,2.65,2.71,3455000.0
2005-11-03,2.68,2.7,2.64,2.66,1815000.0
2005-11-04,2.66,2.76,2.64,2.68,2600500.0
2005-11-07,2.68,2.76,2.67,2.71,1783500.0
2005-11-08,2.69,2.71,2.66,2.7,1599500.0
2005-11-09,2.71,2.76,2.69,2.71,2294000.0
2005-11-10,2.72,2.88,2.66,2.75,4019000.0
2005-11-11,2.76,2.83,2.76,2.81,1347500.0
2005-11-14,2.8,2.84,2.78,2.81,1282500.0
2005-11-15,2.83,3.01,2.81,2.95,7032000.0
2005-11-16,3.02,3.1,3.0,3.03,4794000.0
2005-11-17,3.05,3.18,3.02,3.16,8077500.0
2005-11-18,3.16,3.16,3.03,3.12,3764000.0
2005-11-21,3.18,3.19,3.13,3.16,4266000.0
2005-11-22,3.16,3.18,3.1,3.15,1920000.0
2005-11-23,3.15,3.15,3.09,3.1,1068000.0
2005-11-25,3.11,3.13,3.11,3.12,154000.0
2005-11-28,3.13,3.14,3.07,3.1,1477000.0
2005-11-29,3.12,3.12,3.09,3.1,792000.0
2005-11-30,3.1,3.12,3.08,3.09,1513500.0
2005-12-01,3.08,3.1,3.02,3.05,3586000.0
2005-12-02,3.05,3.11,3.03,3.11,3127500.0
2005-12-05,3.09,3.16,3.06,3.13,3232000.0
2005-12-06,3.15,3.17,3.13,3.16,1503000.0
2005-12-07,3.17,3.2,3.12,3.12,1762000.0
2005-12-08,3.12,3.12,3.02,3.02,5745000.0
2005-12-09,3.04,3.06,2.98,3.03,5531500.0
2005-12-12,3.04,3.07,3.01,3.02,2333500.0
2005-12-13,3.02,3.05,2.95,2.98,3260500.0
2005-12-14,2.97,2.99,2.94,2.96,1973500.0
2005-12-15,2.95,3.0,2.92,2.99,1495500.0
2005-12-16,3.02,3.04,3.0,3.02,3498000.0
2005-12-19,3.02,3.06,2.96,3.05,2893500.0
2005-12-20,2.96,3.01,2.93,2.99,3497000.0
2005-12-21,3.0,3.0,2.92,2.95,1900500.0
2005-12-22,2.95,3.07,2.95,3.07,2252000.0
2005-12-23,3.03,3.08,3.03,3.05,1622000.0
2005-12-27,3.06,3.1,3.05,3.06,2007500.0
2005-12-28,3.06,3.06,2.99,3.05,4846500.0
2005-12-29,3.06,3.09,3.05,3.07,1294000.0
