date,open,high,low,close,volume
2004-01-02,32.47,32.62,32.08,32.15,5485200.0
2004-01-05,32.47,32.59,31.84,32.19,9643600.0
2004-01-06,32.17,32.17,31.17,31.3,13145200.0
2004-01-07,31.34,32.33,31.34,32.1,15869600.0
2004-01-08,32.47,32.47,31.73,31.87,6650000.0
2004-01-09,31.8,32.13,31.61,31.72,4420800.0
2004-01-12,31.83,32.47,31.72,32.38,6339600.0
2004-01-13,32.42,32.85,32.22,32.58,7130400.0
2004-01-14,32.59,32.83,32.54,32.81,4356000.0
2004-01-15,32.85,33.12,32.76,33.01,5016000.0
2004-01-16,32.97,32.99,32.08,32.43,9807600.0
2004-01-20,32.5,32.65,32.22,32.31,5952000.0
2004-01-21,32.31,33.01,32.22,32.94,5611600.0
2004-01-22,33.0,33.4,33.0,33.2,6420400.0
2004-01-23,33.3,33.42,33.01,33.17,3872000.0
2004-01-26,33.17,33.5,33.13,33.5,4651200.0
2004-01-27,33.5,33.6,32.88,32.95,6948400.0
2004-01-28,32.9,33.0,31.89,31.93,7132800.0
2004-01-29,32.2,32.26,30.74,31.06,11619200.0
2004-01-30,31.08,31.4,30.94,31.3,6229600.0
2004-02-02,31.3,31.46,30.57,31.24,10042400.0
2004-02-03,31.15,31.15,30.84,30.98,4882800.0
2004-02-04,30.58,30.73,30.12,30.5,9749200.0
2004-02-05,30.4,30.99,30.0,30.69,7712400.0
2004-02-06,30.8,31.08,30.35,31.0,7882400.0
2004-02-09,31.3,31.3,30.47,30.52,11460800.0
2004-02-10,30.8,30.8,30.24,30.55,7570400.0
2004-02-11,30.55,32.38,30.4,32.25,12137600.0
2004-02-12,32.22,32.56,32.13,32.38,6322400.0
2004-02-13,32.47,32.65,31.89,32.01,5786800.0
2004-02-17,33.55,33.9,33.1,33.5,20334400.0
2004-02-18,33.5,33.67,33.25,33.33,6820800.0
2004-02-19,33.49,33.76,33.12,33.12,6028000.0
2004-02-20,33.28,33.28,32.35,32.66,6028800.0
2004-02-23,32.88,32.9,32.35,32.69,4957200.0
2004-02-24,32.58,32.83,32.22,32.29,5871600.0
2004-02-25,32.34,32.56,32.24,32.47,7081200.0
2004-02-26,32.49,32.97,32.35,32.85,6559600.0
2004-02-27,32.19,32.83,32.12,32.12,9336800.0
2004-03-01,32.53,32.97,32.4,32.65,6181200.0
2004-03-02,32.68,32.99,32.38,32.47,4785600.0
2004-03-03,32.48,32.58,32.21,32.53,5558400.0
2004-03-04,32.51,32.52,31.98,32.45,5808800.0
2004-03-05,32.12,32.98,32.1,32.91,6063200.0
2004-03-08,32.92,33.26,32.82,32.92,4716800.0
2004-03-09,33.22,33.49,32.97,33.35,9045600.0
2004-03-10,33.36,33.4,31.84,31.9,10465600.0
2004-03-11,31.58,31.73,30.91,30.97,10794800.0
2004-03-12,31.38,32.38,31.38,32.31,9038400.0
2004-03-15,32.18,32.3,31.75,31.88,6141200.0
2004-03-16,32.25,32.67,32.08,32.4,6357600.0
2004-03-17,32.51,33.3,32.47,33.24,6742000.0
