date,open,high,low,close,volume
2004-01-02,27.31,27.55,26.89,27.04,804600.0
2004-01-05,27.18,27.58,27.18,27.54,755300.0
2004-01-06,27.49,27.5,26.92,27.19,749000.0
2004-01-07,27.24,27.25,26.77,27.21,919500.0
2004-01-08,27.31,27.5,26.87,27.16,711000.0
2004-01-09,27.14,27.2,26.81,26.82,705100.0
2004-01-12,26.88,27.29,26.86,27.16,628500.0
2004-01-13,27.17,27.21,26.7,26.9,782700.0
2004-01-14,26.95,27.21,26.93,27.0,978900.0
2004-01-15,26.97,26.97,26.22,26.67,941000.0
2004-01-16,26.68,27.17,26.62,27.11,803900.0
2004-01-20,27.04,27.25,27.04,27.12,880600.0
2004-01-21,27.04,27.15,26.59,26.85,1614200.0
2004-01-22,26.85,27.04,26.55,26.75,741200.0
2004-01-23,26.77,26.99,26.54,26.54,750100.0
2004-01-26,26.6,26.94,26.59,26.75,1067000.0
2004-01-27,26.75,26.78,26.36,26.52,1022100.0
2004-01-28,26.56,26.82,26.22,26.22,899400.0
2004-01-29,26.36,26.72,26.12,26.69,1030400.0
2004-01-30,26.67,27.37,26.67,27.17,1742700.0
2004-02-02,27.17,27.27,26.85,27.0,808400.0
2004-02-03,26.87,27.13,26.8,26.92,1521800.0
2004-02-04,26.98,26.98,26.66,26.71,652100.0
2004-02-05,26.61,27.25,26.6,27.05,860400.0
2004-02-06,27.3,27.63,26.67,27.59,894300.0
2004-02-09,27.4,27.55,27.16,27.38,685600.0
2004-02-10,27.35,28.15,27.26,27.89,921700.0
2004-02-11,27.75,28.03,27.25,27.94,1299100.0
2004-02-12,27.89,27.9,27.15,27.33,1023600.0
2004-02-13,27.35,27.77,27.2,27.34,861600.0
2004-02-17,27.42,27.72,27.38,27.44,557500.0
2004-02-18,27.54,27.58,27.05,27.32,540000.0
2004-02-19,27.5,28.17,27.44,27.75,883100.0
2004-02-20,27.76,27.87,27.29,27.5,763400.0
2004-02-23,27.51,27.68,27.3,27.35,830300.0
2004-02-24,27.34,27.64,27.06,27.32,1095800.0
2004-02-25,27.27,27.27,26.82,27.0,1422900.0
2004-02-26,27.02,27.17,26.83,27.15,739900.0
2004-02-27,27.15,27.64,27.0,27.31,618400.0
2004-03-01,27.32,27.9,27.32,27.83,755800.0
2004-03-02,27.83,27.96,27.49,27.49,1147400.0
2004-03-03,27.43,27.51,26.96,27.18,886300.0
2004-03-04,27.08,27.34,27.07,27.3,620200.0
2004-03-05,27.3,27.7,27.2,27.68,2099600.0
2004-03-08,27.68,27.91,27.5,27.61,1109400.0
2004-03-09,27.61,28.3,27.61,28.04,1647200.0
2004-03-10,28.06,28.54,28.0,28.13,2002700.0
2004-03-11,27.95,28.2,27.69,27.76,1323100.0
2004-03-12,27.68,28.0,27.44,27.81,796200.0
2004-03-15,27.75,27.75,27.18,27.3,754200.0
2004-03-16,27.3,27.67,27.21,27.5,621800.0
2004-03-17,27.48,27.94,27.42,27.84,693900.0
2004-03-18,27.7,27.71,27.18,27.58,630200.0
2004-03-19,27.43,27.64,27.26,27.26,500600.0
2004-03-22,27.27,27.38,26.64,27.04,608200.0
2004-03-23,27.24,27.3,26.68,26.9,767200.0
2004-03-24,26.94,27.06,26.59,26.77,618200.0
2004-03-25,26.78,27.78,26.7,27.65,674600.0
2004-03-26,27.6,27.64,27.3,27.48,413600.0
2004-03-29,27.58,28.28,27.52,28.05,850000.0
2004-03-30,27.94,28.42,27.89,28.36,679800.0
2004-03-31,28.3,28.61,27.86,28.53,715200.0
2004-04-01,28.4,28.9,28.29,28.49,2054700.0
2004-04-02,28.55,28.92,28.48,28.5,1479700.0
2004-04-05,28.53,28.57,28.39,28.5,751900.0
2004-04-06,28.51,28.53,28.36,28.5,545900.0
2004-04-07,28.5,28.53,28.23,28.36,554200.0
2004-04-08,28.45,28.54,28.23,28.4,663200.0
2004-04-12,28.45,28.65,28.45,28.62,643400.0
2004-04-13,28.63,28.63,28.44,28.48,1023900.0
2004-04-14,28.36,28.68,28.31,28.42,1016100.0
2004-04-15,28.51,28.61,28.44,28.5,1173400.0
2004-04-16,28.54,28.54,28.31,28.49,602200.0
2004-04-19,28.49,28.5,28.24,28.48,399400.0
2004-04-20,28.5,28.55,28.05,28.05,508600.0
2004-04-21,28.2,28.43,27.95,28.35,586600.0
2004-04-22,28.5,29.2,28.45,29.17,1409300.0
2004-04-23,29.17,29.35,28.93,29.29,627300.0
2004-04-26,29.29,29.29,28.93,29.04,1003800.0
2004-04-27,29.29,29.85,29.16,29.84,1249400.0
2004-04-28,29.81,29.84,29.12,29.31,1110900.0
2004-04-29,29.29,29.79,29.06,29.24,916900.0
2004-04-30,29.4,30.17,29.3,29.8,1534500.0
2004-05-03,29.92,30.03,29.55,29.71,831500.0
2004-05-04,29.69,30.0,29.39,29.7,694000.0
2004-05-05,29.63,29.69,29.42,29.53,624200.0
2004-05-06,29.33,29.62,29.28,29.56,636300.0
2004-05-07,29.41,29.55,29.03,29.11,1024200.0
2004-05-10,28.91,29.05,28.59,28.86,733500.0
2004-05-11,28.25,29.06,28.25,28.74,891900.0
2004-05-12,28.49,28.56,28.02,28.47,990600.0
2004-05-13,28.45,28.95,28.44,28.86,680400.0
2004-05-14,28.76,29.15,28.61,28.99,685300.0
2004-05-17,28.6,28.74,28.26,28.39,749700.0
2004-05-18,28.35,28.81,28.35,28.72,628000.0
2004-05-19,28.97,29.03,28.31,28.36,813200.0
2004-05-20,28.3,29.19,28.28,29.18,1023600.0
2004-05-21,29.23,29.48,28.94,29.15,691300.0
2004-05-24,29.16,29.58,29.16,29.42,510200.0
2004-05-25,29.28,30.4,29.11,30.34,1343200.0
2004-05-26,30.24,30.48,30.1,30.39,902400.0
2004-05-27,30.48,31.02,30.48,30.81,816200.0
2004-05-28,30.72,30.72,30.31,30.51,439900.0
2004-06-01,30.52,30.82,30.39,30.63,663200.0
2004-06-02,30.55,30.83,30.24,30.78,710500.0
2004-06-03,30.57,30.75,30.26,30.26,430300.0
2004-06-04,30.4,30.85,30.36,30.72,472900.0
2004-06-07,30.7,31.12,30.46,31.09,531100.0
2004-06-08,30.97,31.39,30.89,31.39,472300.0
2004-06-09,31.38,31.48,31.17,31.25,452500.0
2004-06-10,31.35,31.47,31.25,31.38,625400.0
2004-06-14,31.15,31.15,30.65,30.8,365300.0
2004-06-15,30.95,31.21,30.82,31.15,608000.0
2004-06-16,31.15,31.15,30.75,30.96,479300.0
2004-06-17,30.98,31.01,30.3,30.4,833400.0
2004-06-18,30.2,30.62,30.08,30.41,861500.0
2004-06-21,30.45,30.54,30.19,30.27,622600.0
2004-06-22,30.27,30.82,30.07,30.62,631300.0
2004-06-23,30.45,30.92,30.31,30.88,467900.0
2004-06-24,30.5,30.99,30.47,30.92,574900.0
2004-06-25,30.92,31.12,30.7,30.89,521000.0
2004-06-28,31.25,31.44,30.97,31.15,524500.0
2004-06-29,31.15,31.6,31.15,31.6,425500.0
2004-06-30,31.6,31.77,31.26,31.7,746000.0
2004-07-01,31.05,31.28,30.27,30.7,886500.0
2004-07-02,30.7,30.7,30.31,30.66,494600.0
2004-07-06,30.66,30.87,30.49,30.65,718300.0
2004-07-07,30.64,31.07,30.58,31.07,729800.0
2004-07-08,31.07,31.13,30.71,31.0,735000.0
2004-07-09,31.0,31.1,30.61,30.8,658700.0
2004-07-12,30.9,31.34,30.55,31.31,585100.0
2004-07-13,31.3,31.41,31.22,31.3,525100.0
2004-07-14,31.15,31.43,30.96,31.22,859700.0
2004-07-15,31.43,31.62,31.13,31.2,676300.0
2004-07-16,31.45,31.58,31.17,31.3,525800.0
2004-07-19,31.4,31.5,31.16,31.25,414500.0
2004-07-20,31.17,31.4,31.04,31.29,871100.0
2004-07-21,31.42,31.49,31.24,31.31,671600.0
2004-07-22,31.25,31.27,30.77,30.88,908000.0
2004-07-23,30.68,30.69,30.02,30.35,632000.0
2004-07-26,30.35,30.74,30.17,30.31,1039000.0
2004-07-27,30.36,30.66,30.19,30.58,779400.0
2004-07-28,30.59,30.61,30.0,30.43,701300.0
2004-07-29,30.53,30.9,30.38,30.7,487900.0
2004-07-30,30.55,30.73,30.42,30.5,360800.0
2004-08-02,30.51,30.75,30.15,30.7,451300.0
2004-08-03,30.71,30.71,30.19,30.45,599800.0
2004-08-04,30.45,30.72,30.11,30.52,478400.0
2004-08-05,30.53,30.54,29.63,29.74,711400.0
2004-08-06,29.5,29.6,29.04,29.37,731600.0
2004-08-09,29.38,29.82,29.33,29.49,489700.0
2004-08-10,29.49,30.11,29.32,30.05,775900.0
2004-08-11,29.75,30.4,29.56,30.21,503300.0
2004-08-12,30.03,30.08,29.5,30.0,725100.0
2004-08-13,29.92,29.99,29.64,29.89,508500.0
2004-08-16,29.78,30.5,29.78,30.4,505000.0
2004-08-17,30.32,30.42,29.97,30.16,498600.0
2004-08-18,30.14,30.29,29.9,30.29,634000.0
2004-08-19,30.07,30.07,29.75,30.0,600900.0
2004-08-20,30.0,30.26,29.87,30.17,629700.0
2004-08-23,30.18,30.19,29.74,29.78,552500.0
2004-08-24,30.02,30.02,29.4,29.62,1232800.0
2004-08-25,29.62,30.44,29.53,30.28,586300.0
2004-08-26,30.33,30.39,30.1,30.11,469100.0
2004-08-27,30.21,30.23,29.81,30.02,418700.0
2004-08-30,30.07,30.11,29.76,29.77,390100.0
2004-08-31,29.85,30.11,29.76,29.92,468600.0
2004-09-01,29.79,30.21,29.79,30.02,659900.0
2004-09-02,30.08,30.49,30.05,30.47,496600.0
2004-09-03,30.47,30.76,30.36,30.65,558800.0
2004-09-07,30.89,30.98,30.66,30.86,795900.0
2004-09-08,30.73,30.85,30.41,30.46,444600.0
2004-09-09,30.5,30.79,30.5,30.71,510100.0
2004-09-10,30.57,30.75,30.24,30.67,432600.0
2004-09-13,30.62,30.78,30.47,30.67,537400.0
2004-09-14,30.6,30.68,30.29,30.61,742000.0
2004-09-15,30.61,30.83,30.47,30.72,484000.0
2004-09-16,30.63,30.97,30.62,30.82,635300.0
2004-09-17,30.97,31.54,30.91,31.29,980900.0
2004-09-20,31.15,31.38,31.0,31.08,724400.0
2004-09-21,31.13,31.4,31.0,31.3,532100.0
2004-09-22,31.12,31.4,30.91,31.2,711600.0
2004-09-23,31.08,31.2,30.61,30.75,864300.0
2004-09-24,30.65,31.2,30.65,31.17,1100300.0
2004-09-27,31.1,31.15,30.84,30.93,729400.0
2004-09-28,31.0,31.46,31.0,31.43,584000.0
2004-09-29,31.3,31.35,31.02,31.19,858300.0
2004-09-30,31.33,31.8,31.33,31.44,1339500.0
2004-10-01,31.47,31.75,31.32,31.75,856600.0
2004-10-04,31.8,32.15,31.68,31.87,777900.0
2004-10-05,32.08,32.36,31.87,32.27,1225700.0
2004-10-06,32.4,32.82,32.31,32.82,772700.0
2004-10-07,33.75,34.2,32.7,32.79,2154700.0
2004-10-08,32.44,32.82,32.33,32.51,754700.0
