date,open,high,low,close,volume
2011-07-01,20.6,23.72,20.5,21.1,8334166.0
2011-07-05,21.1,21.5,20.83,21.1,11822948.0
2011-07-06,20.8,21.12,20.5,20.94,10982848.0
2011-07-07,21.09,21.63,20.85,20.89,16707598.0
2011-07-08,20.4,21.3,20.26,20.7,16416852.0
2011-07-11,20.4,20.4,19.75,20.05,9495018.0
2011-07-12,19.93,20.5,19.72,20.24,8011122.0
2011-07-13,20.26,20.62,19.62,19.98,11642740.0
2011-07-14,19.99,20.01,19.1,19.32,11532684.0
2011-07-15,19.5,19.74,19.05,19.58,9938772.0
2011-07-18,19.36,19.8,18.88,19.56,8311406.0
2011-07-19,19.63,19.97,19.57,19.87,6422988.0
2011-07-20,19.9,19.97,19.7,19.76,5448966.0
2011-07-21,19.76,20.12,19.56,20.05,7249604.0
2011-07-22,20.14,20.41,19.95,20.28,6645548.0
2011-07-25,20.62,21.06,20.33,20.68,8899060.0
2011-07-26,20.69,21.86,20.64,21.52,11324110.0
2011-07-27,21.51,21.65,20.99,21.03,6998306.0
2011-07-28,21.22,21.47,21.09,21.39,6654416.0
2011-07-29,21.17,22.31,20.99,21.9,10709548.0
2011-08-01,22.52,22.69,22.0,22.49,11521572.0
2011-08-02,22.26,22.45,21.12,21.17,10995420.0
2011-08-03,21.64,22.7,19.51,20.72,13413710.0
2011-08-04,20.35,20.35,18.61,19.21,15377930.0
2011-08-05,19.45,19.61,16.72,18.66,12348478.0
2011-08-08,17.62,18.0,14.74,16.17,16542858.0
2011-08-09,16.53,18.2,16.21,18.05,12054012.0
2011-08-10,17.77,18.42,17.06,17.56,9683068.0
2011-08-11,17.95,19.3,17.72,18.67,8756314.0
2011-08-12,18.8,19.56,18.45,18.7,5906768.0
2011-08-15,18.94,19.83,18.94,19.55,5365382.0
2011-08-16,19.18,19.72,19.06,19.43,6532386.0
2011-08-17,19.82,19.98,19.41,19.55,5627486.0
2011-08-18,19.06,19.25,17.7,18.31,7501524.0
2011-08-19,17.89,18.33,17.32,17.5,9878424.0
2011-08-22,17.91,18.0,16.17,16.28,10774064.0
2011-08-23,16.32,17.35,16.02,17.12,10359812.0
2011-08-24,17.2,18.01,16.85,17.92,6723308.0
2011-08-25,18.09,18.45,16.96,17.19,6375852.0
2011-08-26,17.2,18.38,17.03,17.43,5880400.0
2011-08-29,17.64,18.18,17.52,18.0,4174906.0
2011-08-30,17.94,18.19,17.38,18.01,4385148.0
2011-08-31,18.25,18.73,18.25,18.53,5730894.0
2011-09-01,18.72,19.11,18.45,18.5,4515342.0
2011-09-02,17.92,18.5,17.56,17.71,3594036.0
2011-09-06,17.11,17.7,16.65,17.5,5723798.0
2011-09-07,17.79,18.47,17.62,18.15,5212430.0
2011-09-08,18.08,19.08,17.78,18.86,4086528.0
2011-09-09,18.31,18.89,17.97,18.17,5888904.0
2011-09-12,17.67,18.44,17.44,18.33,3919196.0
2011-09-13,18.2,18.32,17.22,17.67,7146900.0
2011-09-14,17.62,17.66,17.23,17.51,7640694.0
2011-09-15,17.94,18.48,17.61,17.71,6081222.0
2011-09-16,17.76,17.83,17.43,17.55,7195320.0
2011-09-19,17.09,17.28,16.55,16.77,5096530.0
2011-09-20,16.78,17.11,16.75,16.84,3859134.0
2011-09-21,16.67,17.23,16.17,16.2,4013026.0
2011-09-22,15.58,15.7,14.42,14.73,11073584.0
2011-09-23,14.59,15.16,14.53,14.77,6767804.0
2011-09-26,14.95,15.18,14.75,15.05,7970858.0
2011-09-27,15.41,15.91,14.85,14.91,9412360.0
2011-09-28,14.98,15.32,14.46,14.49,8844310.0
2011-09-29,14.84,14.93,13.18,13.92,10516798.0
2011-09-30,13.69,13.97,13.41,13.53,9626644.0
2011-10-03,13.45,13.9,13.31,13.57,8648054.0
2011-10-04,13.4,14.4,13.34,14.38,10289392.0
2011-10-05,14.53,15.89,14.27,15.74,10463722.0
2011-10-06,15.76,16.67,15.55,16.65,7978256.0
2011-10-07,16.86,16.99,15.62,15.8,8532646.0
2011-10-10,16.14,16.74,16.04,16.49,5005154.0
2011-10-11,16.34,16.81,16.22,16.58,6614850.0
2011-10-12,16.71,17.07,16.64,16.78,7544192.0
2011-10-13,16.67,16.94,16.42,16.89,6341138.0
2011-10-14,17.22,18.1,17.17,18.07,6739428.0
2011-10-17,18.02,18.24,17.42,17.47,4717522.0
2011-10-18,17.38,18.27,17.08,18.09,4533540.0
2011-10-19,18.09,18.53,17.73,17.8,6033676.0
2011-10-20,17.8,18.33,17.65,18.25,4675274.0
2011-10-21,18.45,18.84,18.25,18.67,6436096.0
2011-10-24,18.77,19.24,17.77,17.92,6574156.0
2011-10-25,17.33,17.33,15.7,16.49,18550456.0
2011-10-26,16.91,17.48,16.6,17.36,7476944.0
2011-10-27,17.64,18.86,17.64,18.67,7726000.0
2011-10-28,18.59,18.81,18.13,18.66,7259866.0
2011-10-31,18.5,18.5,17.71,17.95,6581156.0
2011-11-01,17.75,19.06,17.15,18.0,13191230.0
2011-11-02,18.45,19.22,18.38,19.17,9171328.0
2011-11-03,19.5,19.77,19.05,19.33,7803070.0
2011-11-04,19.1,19.36,18.75,19.31,5657508.0
2011-11-07,19.07,19.52,19.07,19.46,4110894.0
2011-11-08,19.51,19.72,18.86,19.06,5019030.0
2011-11-09,18.51,19.5,18.27,18.51,6973898.0
2011-11-10,18.84,18.94,18.0,18.85,6920674.0
2011-11-11,19.14,19.59,18.82,18.89,8037156.0
2011-11-14,18.72,18.82,17.68,18.35,8146394.0
2011-11-15,18.25,18.66,18.12,18.49,5613616.0
2011-11-16,17.37,17.53,16.1,16.32,24772674.0
2011-11-17,16.36,16.67,15.62,15.81,15641930.0
2011-11-18,15.93,16.48,15.81,16.41,6335628.0
2011-11-21,16.17,16.66,15.65,16.42,6564458.0
2011-11-22,16.55,16.77,16.11,16.76,6095486.0
2011-11-23,16.49,16.72,16.25,16.42,8240044.0
2011-11-25,16.32,16.36,16.09,16.14,2732078.0
2011-11-28,16.81,17.09,16.33,16.64,7630844.0
2011-11-29,16.75,16.81,16.39,16.58,7636034.0
2011-11-30,17.06,17.26,16.23,16.69,12317310.0
2011-12-01,16.96,17.17,16.67,16.98,5997194.0
2011-12-02,17.21,17.39,16.57,16.66,7471192.0
2011-12-05,17.01,17.73,16.93,17.2,9112118.0
2011-12-06,17.28,17.39,17.0,17.32,5932116.0
2011-12-07,17.23,17.3,16.91,17.25,8031386.0
2011-12-08,17.17,17.28,16.75,17.01,9874768.0
2011-12-09,17.01,17.45,16.9,17.44,6378440.0
2011-12-12,17.21,17.3,16.95,17.3,10916768.0
2011-12-13,17.06,17.44,16.73,16.98,7383274.0
2011-12-14,16.83,16.92,16.01,16.34,7003656.0
2011-12-15,16.5,16.64,16.17,16.26,3495654.0
2011-12-16,16.42,16.62,15.9,15.98,8457028.0
2011-12-19,16.0,16.41,15.86,15.97,6274492.0
2011-12-20,16.33,16.48,15.9,16.1,6290906.0
2011-12-21,16.02,16.42,16.0,16.33,4308726.0
2011-12-22,16.47,16.7,16.33,16.66,3692972.0
2011-12-23,16.66,16.79,16.6,16.76,1840874.0
2011-12-27,16.77,16.99,16.69,16.83,1539802.0
2011-12-28,16.8,16.92,16.37,16.57,3284856.0
2011-12-29,16.67,16.68,16.43,16.64,2126884.0
2011-12-30,16.67,16.75,16.5,16.65,2165414.0
2012-01-03,17.27,17.48,16.68,16.7,5043190.0
2012-01-04,16.65,16.94,16.6,16.88,5791266.0
2012-01-05,16.53,16.57,15.5,15.96,12391840.0
2012-01-06,15.98,16.01,15.56,15.83,7554512.0
2012-01-09,15.81,15.85,15.12,15.48,9678810.0
2012-01-10,15.76,15.94,15.48,15.91,6010902.0
2012-01-11,15.78,16.54,15.53,16.44,11266584.0
2012-01-12,16.48,16.67,16.25,16.32,5585976.0
2012-01-13,16.25,16.65,16.17,16.51,6199492.0
2012-01-17,16.72,16.98,16.47,16.77,4440462.0
2012-01-18,16.72,17.92,16.6,17.73,7981170.0
2012-01-19,17.83,18.05,17.54,17.92,6295634.0
2012-01-20,18.63,18.89,18.38,18.58,9684968.0
2012-01-23,18.58,19.0,18.5,18.93,5406420.0
2012-01-24,18.74,19.52,18.56,19.52,7421998.0
2012-01-25,19.38,19.42,18.97,19.38,10327274.0
2012-01-26,19.49,19.5,18.67,18.75,6187528.0
2012-01-27,18.7,19.03,18.6,18.76,6156486.0
2012-01-30,18.49,18.82,18.45,18.74,3700296.0
2012-01-31,19.38,19.38,18.64,19.11,10394526.0
2012-02-01,20.85,21.74,20.33,20.94,22296490.0
2012-02-02,20.73,21.5,20.5,21.28,7455228.0
2012-02-03,21.56,22.14,21.5,21.99,10732430.0
2012-02-06,22.1,22.52,21.88,22.21,10962108.0
2012-02-07,22.15,22.5,21.6,21.96,11722174.0
2012-02-08,22.08,22.71,22.06,22.48,15936286.0
2012-02-09,22.38,22.62,21.92,22.42,7107892.0
2012-02-10,22.18,22.39,21.9,22.04,7004800.0
2012-02-13,22.1,22.31,21.57,21.74,8935116.0
2012-02-14,21.55,22.33,21.53,22.01,8469194.0
2012-02-15,22.2,22.5,21.73,21.85,8363134.0
2012-02-16,21.81,22.25,21.78,22.05,6863884.0
2012-02-17,22.15,22.25,21.63,21.72,7104932.0
2012-02-21,21.74,22.02,21.64,21.91,6473416.0
2012-02-22,21.94,22.21,21.74,21.76,7642260.0
2012-02-23,21.7,22.17,21.65,21.84,5967188.0
2012-02-24,21.93,22.0,21.4,21.43,5858282.0
2012-02-27,21.31,21.57,21.09,21.31,9289612.0
2012-02-28,21.27,21.3,20.66,20.83,15318254.0
2012-02-29,20.85,21.22,20.72,20.77,10256640.0
2012-03-01,20.78,21.41,20.78,21.36,10728796.0
2012-03-02,21.26,21.56,20.99,21.09,5397862.0
2012-03-05,21.14,21.44,20.85,21.38,4696678.0
2012-03-06,21.13,21.36,20.89,21.0,5533160.0
2012-03-07,20.91,21.63,20.91,21.27,5985126.0
2012-03-08,21.55,21.92,21.27,21.82,11870048.0
2012-03-09,21.83,22.0,21.57,21.95,5795382.0
2012-03-12,21.88,21.94,21.52,21.89,6024302.0
2012-03-13,21.95,22.16,21.82,22.02,8265518.0
2012-03-14,22.06,22.18,21.84,21.95,5444714.0
2012-03-15,22.02,22.21,21.75,21.95,5544370.0
2012-03-16,22.12,22.2,21.81,22.09,7662310.0
2012-03-19,22.06,22.48,22.05,22.27,3862738.0
2012-03-20,22.17,22.17,21.83,21.9,4488714.0
2012-03-21,21.89,22.01,21.62,21.84,5243230.0
2012-03-22,21.58,21.85,21.46,21.68,6899838.0
2012-03-23,21.63,22.18,21.6,22.0,4814760.0
2012-03-26,22.38,22.67,22.22,22.6,8455956.0
2012-03-27,22.65,22.69,21.99,22.0,6284640.0
2012-03-28,21.88,21.96,21.57,21.78,7307766.0
2012-03-29,21.58,21.74,21.45,21.62,5024904.0
2012-03-30,21.76,22.0,21.64,21.68,7078436.0
2012-04-02,21.69,21.84,21.5,21.72,9149610.0
2012-04-03,21.74,21.78,21.0,21.2,12358070.0
2012-04-04,21.06,21.33,20.88,21.3,7822444.0
2012-04-05,21.14,21.47,20.9,21.07,5284674.0
2012-04-09,20.81,21.39,20.81,21.23,5671214.0
2012-04-10,21.17,21.32,20.89,20.92,7829724.0
2012-04-11,21.15,21.16,20.67,20.75,6079918.0
2012-04-12,20.71,21.3,20.61,20.88,12313206.0
2012-04-13,20.85,21.08,20.74,20.81,5088508.0
2012-04-16,20.39,20.58,19.99,20.0,11497944.0
2012-04-17,20.11,20.42,20.0,20.0,7422832.0
2012-04-18,19.9,19.99,19.72,19.93,6830656.0
2012-04-19,19.99,20.23,19.79,19.87,4941484.0
