date,open,high,low,close,volume
2004-01-02,13.72,13.89,13.64,13.74,6951300.0
2004-01-05,13.84,14.18,13.84,14.15,10725100.0
2004-01-06,14.19,14.59,14.14,14.54,13702000.0
2004-01-07,14.85,15.21,14.65,15.18,21337500.0
2004-01-08,15.25,15.58,15.18,15.47,16892700.0
2004-01-09,15.15,15.79,15.13,15.35,13080800.0
2004-01-12,15.35,15.49,15.06,15.28,12724900.0
2004-01-13,15.15,15.25,14.65,14.86,13418200.0
2004-01-14,14.88,15.0,14.55,14.87,9747700.0
2004-01-15,14.96,15.05,14.68,14.83,11584000.0
2004-01-16,14.85,14.99,14.74,14.96,7773800.0
2004-01-20,15.09,15.16,14.89,15.12,6780800.0
2004-01-21,15.0,15.15,14.75,15.01,6349000.0
2004-01-22,15.14,15.2,14.43,14.46,8100000.0
2004-01-23,14.3,14.9,14.3,14.71,8397900.0
2004-01-26,15.0,15.08,14.69,15.0,7336200.0
2004-01-27,15.58,16.05,15.4,15.71,22659200.0
2004-01-28,15.96,16.88,15.92,16.11,25583900.0
2004-01-29,16.39,17.08,15.63,15.97,18792900.0
2004-01-30,16.05,16.49,15.89,16.11,8848300.0
2004-02-02,16.36,16.49,15.93,15.99,10391200.0
2004-02-03,16.05,16.4,15.83,15.96,11672100.0
2004-02-04,15.8,15.93,15.5,15.73,9939800.0
2004-02-05,15.73,15.8,15.3,15.45,9785000.0
2004-02-06,15.38,16.19,15.37,16.15,9909600.0
2004-02-09,16.32,16.35,15.85,15.9,8283500.0
2004-02-10,15.9,16.32,15.7,16.21,7345000.0
2004-02-11,16.15,16.33,16.0,16.2,7506500.0
2004-02-12,16.07,16.4,15.8,15.84,9810000.0
2004-02-13,16.03,16.2,15.45,15.73,7262600.0
2004-02-17,16.0,16.18,15.75,16.04,6731200.0
2004-02-18,16.0,16.56,15.85,16.42,11196000.0
2004-02-19,16.65,16.87,16.1,16.14,10990400.0
2004-02-20,15.8,15.82,15.45,15.57,12600900.0
2004-02-23,15.59,15.65,14.91,15.08,10218300.0
2004-02-24,14.93,15.47,14.92,15.15,7282700.0
2004-02-25,15.1,15.35,15.1,15.25,5224700.0
2004-02-26,14.95,15.3,14.81,15.18,5911300.0
2004-02-27,15.34,15.43,15.01,15.04,7138600.0
2004-03-01,15.18,15.45,15.01,15.35,5852700.0
2004-03-02,15.93,16.24,15.65,15.83,13903900.0
2004-03-03,15.83,16.22,15.6,16.07,8809800.0
2004-03-04,16.15,16.35,16.05,16.29,6966100.0
2004-03-05,16.05,16.61,16.01,16.31,6783300.0
2004-03-08,16.31,16.36,15.45,15.47,7992000.0
2004-03-09,15.5,15.68,15.14,15.41,8513100.0
2004-03-10,15.34,15.63,14.56,14.62,12292900.0
2004-03-11,14.58,14.93,14.38,14.43,11173300.0
2004-03-12,14.75,14.99,14.45,14.71,9598100.0
2004-03-15,14.72,14.98,14.24,14.52,7651800.0
2004-03-16,14.8,14.91,14.6,14.85,9629900.0
2004-03-17,15.38,15.58,15.18,15.47,9872800.0
2004-03-18,15.49,15.94,15.4,15.81,10451300.0
2004-03-19,15.9,16.15,15.66,15.69,8932100.0
2004-03-22,15.7,15.83,15.21,15.42,10076800.0
2004-03-23,15.8,16.1,15.45,15.82,11861400.0
2004-03-24,15.82,16.2,15.69,15.81,15344000.0
2004-03-25,15.75,15.8,15.16,15.56,24402800.0
2004-03-26,15.6,16.27,15.44,15.91,12511000.0
2004-03-29,16.16,16.42,16.08,16.2,8492100.0
2004-03-30,16.05,16.35,15.95,16.31,7249600.0
2004-03-31,16.38,17.04,16.28,16.71,15037300.0
2004-04-01,16.71,17.09,16.65,16.9,14366000.0
2004-04-02,17.38,17.79,17.15,17.7,16371600.0
2004-04-05,17.82,18.25,17.76,17.96,20485300.0
2004-04-06,17.75,17.89,17.3,17.5,12219300.0
2004-04-07,17.5,17.52,17.08,17.29,19555800.0
2004-04-08,17.51,17.61,17.23,17.35,8305100.0
2004-04-12,17.6,17.73,17.05,17.19,7580300.0
2004-04-13,17.3,17.33,16.86,17.0,8815700.0
2004-04-14,16.6,16.75,16.07,16.49,17612100.0
2004-04-15,16.48,16.48,15.64,16.01,14255300.0
2004-04-16,16.0,16.04,15.65,15.91,8903200.0
2004-04-19,15.92,15.99,15.61,15.81,9257300.0
2004-04-20,15.9,16.28,15.37,15.37,13388400.0
2004-04-21,15.4,15.5,15.08,15.38,11161600.0
2004-04-22,15.4,15.6,15.14,15.4,7902800.0
2004-04-23,15.5,15.69,15.37,15.54,5263900.0
2004-04-26,15.83,15.83,15.43,15.47,7016700.0
2004-04-27,15.6,15.78,15.22,15.28,9059900.0
2004-04-28,14.41,14.83,14.24,14.28,21219300.0
2004-04-29,14.23,14.3,13.42,13.66,17675300.0
2004-04-30,13.85,13.97,13.46,13.62,7243900.0
2004-05-03,13.71,14.44,13.18,13.71,9818700.0
2004-05-04,13.76,13.85,13.46,13.71,9310200.0
2004-05-05,13.98,14.09,13.72,13.89,8548000.0
2004-05-06,14.17,14.21,13.91,14.14,11307100.0
2004-05-07,14.24,14.69,14.18,14.38,14087800.0
2004-05-10,14.38,14.43,14.08,14.3,9124300.0
2004-05-11,14.36,14.55,14.25,14.45,7217400.0
2004-05-12,14.27,14.39,13.62,14.06,9193300.0
2004-05-13,13.91,14.14,13.71,14.03,6345700.0
2004-05-14,14.1,14.18,13.76,13.86,7677300.0
2004-05-17,13.56,13.8,13.3,13.56,6547500.0
2004-05-18,13.76,13.85,13.61,13.66,4404200.0
2004-05-19,13.9,14.43,13.88,13.89,17722600.0
2004-05-20,13.94,14.08,13.44,13.5,10188400.0
2004-05-21,13.57,13.8,13.45,13.61,8123700.0
2004-05-24,13.75,13.93,13.66,13.74,5250900.0
2004-05-25,13.75,14.38,13.73,14.32,9196300.0
2004-05-26,14.39,14.77,14.28,14.62,7549000.0
2004-05-27,14.7,15.2,14.62,14.85,11375900.0
2004-05-28,14.97,15.04,14.78,15.03,4642500.0
2004-06-01,14.91,15.06,14.72,14.89,6213500.0
2004-06-02,14.89,14.95,14.53,14.75,5000800.0
2004-06-03,14.6,14.65,13.9,14.05,11825700.0
2004-06-04,14.3,14.74,14.3,14.52,9488200.0
2004-06-07,14.55,14.93,14.55,14.9,5066700.0
2004-06-08,14.91,14.94,14.65,14.89,6550000.0
2004-06-09,14.72,14.75,14.32,14.32,14249000.0
2004-06-10,14.52,14.56,14.1,14.2,10296200.0
2004-06-14,14.2,14.2,13.79,13.94,6767400.0
2004-06-15,14.17,14.23,13.93,14.06,6572600.0
2004-06-16,13.9,14.04,13.76,13.98,8262000.0
2004-06-17,13.93,13.93,13.51,13.64,8329400.0
2004-06-18,13.3,13.99,13.3,13.69,6326500.0
2004-06-21,13.75,13.98,13.67,13.73,6415200.0
2004-06-22,13.91,13.98,13.63,13.86,12712900.0
2004-06-23,13.96,14.59,13.92,14.46,17806800.0
2004-06-24,14.25,14.6,14.09,14.37,11314600.0
2004-06-25,14.6,14.88,14.5,14.77,9572700.0
2004-06-28,14.89,14.94,14.45,14.48,5908300.0
2004-06-29,14.49,15.39,14.48,15.24,10884800.0
2004-06-30,15.23,15.37,15.06,15.31,10146200.0
2004-07-01,15.3,15.3,14.82,14.97,7292900.0
2004-07-02,14.83,14.85,14.53,14.68,6616300.0
2004-07-06,14.2,14.45,13.96,14.12,10792400.0
2004-07-07,14.12,14.5,14.12,14.36,6275500.0
2004-07-08,14.25,14.44,14.08,14.12,7484900.0
2004-07-09,14.28,14.46,14.21,14.4,6758100.0
2004-07-12,14.12,14.12,13.72,13.95,7318700.0
