date,open,high,low,close,volume
2012-06-29,4.75,4.95,4.57,4.92,54612870.0
2012-07-02,4.95,5.04,4.82,4.95,3283260.0
2012-07-03,4.97,5.06,4.92,5.06,2005240.0
2012-07-05,5.1,5.25,5.03,5.19,2704795.0
2012-07-06,5.15,5.22,5.02,5.17,1775085.0
2012-07-09,5.19,5.26,5.04,5.05,761680.0
2012-07-10,5.04,5.14,5.01,5.01,1519845.0
2012-07-11,5.0,5.07,4.7,4.75,1482395.0
2012-07-12,4.66,4.89,4.52,4.82,1627130.0
2012-07-13,4.94,4.98,4.8,4.84,445275.0
2012-07-16,4.82,4.91,4.76,4.88,590255.0
2012-07-17,4.9,4.9,4.79,4.85,1137270.0
2012-07-18,4.89,4.94,4.8,4.85,518625.0
2012-07-19,4.93,4.93,4.78,4.8,1272280.0
2012-07-20,4.81,5.05,4.78,5.05,1304195.0
2012-07-23,5.0,5.0,4.78,4.87,3016665.0
2012-07-24,4.97,5.19,4.92,4.97,1457290.0
2012-07-25,5.01,5.09,4.97,4.99,553520.0
2012-07-26,4.99,5.07,4.8,4.88,789575.0
2012-07-27,4.9,5.09,4.86,5.07,500255.0
2012-07-30,5.05,5.09,5.01,5.08,421015.0
2012-07-31,5.09,5.51,5.08,5.4,1419655.0
2012-08-01,5.46,5.6,5.35,5.54,559170.0
2012-08-02,5.5,5.86,5.4,5.82,2784395.0
2012-08-03,5.89,6.29,5.72,5.73,2154640.0
2012-08-06,5.8,5.83,5.45,5.6,2918680.0
2012-08-07,5.66,5.75,5.56,5.6,989755.0
2012-08-08,5.58,5.58,5.4,5.51,1483120.0
2012-08-09,5.5,6.0,5.46,5.9,677165.0
2012-08-10,5.87,6.4,5.87,6.33,1106315.0
2012-08-13,6.41,6.51,6.34,6.49,1074015.0
2012-08-14,6.53,6.79,6.44,6.46,2766000.0
2012-08-15,6.42,6.42,5.89,5.94,2338570.0
2012-08-16,6.01,6.11,5.92,5.95,1502505.0
2012-08-17,6.0,6.01,5.89,5.92,1946235.0
2012-08-20,5.91,5.99,5.91,5.98,1388310.0
2012-08-21,6.04,6.12,5.99,6.05,983225.0
2012-08-22,6.05,6.1,5.97,5.97,3088775.0
2012-08-23,5.99,6.13,5.76,5.81,1460970.0
2012-08-24,5.76,5.99,5.76,5.94,727720.0
2012-08-27,5.94,6.26,5.83,5.85,1299755.0
2012-08-28,5.85,5.94,5.81,5.86,762330.0
2012-08-29,5.88,5.96,5.85,5.9,582745.0
2012-08-30,5.85,6.2,5.81,5.96,932345.0
2012-08-31,6.05,6.3,5.98,6.22,1429670.0
2012-09-04,6.22,6.77,6.22,6.73,1663880.0
2012-09-05,6.73,6.87,6.6,6.84,1658150.0
2012-09-06,6.84,7.22,6.82,7.21,1980940.0
2012-09-07,7.3,7.46,7.12,7.31,2054870.0
2012-09-10,7.4,7.4,6.85,6.88,2286315.0
2012-09-11,6.96,7.03,6.57,6.6,1442290.0
2012-09-12,6.71,7.09,6.65,7.01,1752455.0
2012-09-13,7.03,7.66,6.94,7.5,2302430.0
2012-09-14,7.58,7.87,7.54,7.81,3620245.0
2012-09-17,7.8,7.95,7.61,7.64,4061260.0
2012-09-18,7.73,7.73,7.28,7.36,3389545.0
2012-09-19,7.38,7.75,7.37,7.73,2031155.0
2012-09-20,7.7,7.73,7.44,7.6,3697010.0
2012-09-21,7.7,7.97,7.62,7.93,1767950.0
2012-09-24,7.98,8.14,7.72,8.07,1893440.0
2012-09-25,8.18,8.35,7.92,8.0,3027005.0
2012-09-26,7.97,7.97,7.35,7.62,4269155.0
2012-09-27,7.68,8.07,7.68,8.01,2393750.0
2012-09-28,8.0,8.0,7.23,7.74,7912615.0
2012-10-01,7.6,7.63,6.92,7.3,4519075.0
2012-10-02,7.21,7.35,7.12,7.3,2933250.0
2012-10-03,7.31,7.54,7.3,7.41,1415105.0
2012-10-04,7.34,7.44,7.34,7.43,728290.0
2012-10-05,7.44,7.49,7.3,7.4,2247090.0
2012-10-08,7.32,7.33,7.19,7.31,1256685.0
2012-10-09,7.32,7.36,7.16,7.2,2526105.0
2012-10-10,7.19,7.21,6.92,6.96,2229685.0
2012-10-11,7.0,7.06,6.87,6.9,1336400.0
2012-10-12,6.97,6.97,6.58,6.66,2988140.0
2012-10-15,6.58,6.98,6.56,6.9,3773790.0
2012-10-16,6.93,6.93,6.74,6.86,2516105.0
2012-10-17,6.87,7.09,6.8,6.95,3422435.0
2012-10-18,6.95,6.98,6.9,6.96,1307230.0
2012-10-19,6.96,7.1,6.78,6.87,2672625.0
2012-10-22,6.89,6.9,6.51,6.69,3605650.0
2012-10-23,6.66,6.97,6.52,6.91,2200100.0
2012-10-24,6.91,7.15,6.81,7.13,3022800.0
2012-10-25,7.13,7.52,6.14,6.28,9769175.0
2012-10-26,6.34,6.6,6.28,6.38,3007705.0
2012-10-31,6.42,6.55,6.02,6.13,2844120.0
2012-11-01,6.27,6.33,5.91,6.21,3942995.0
2012-11-02,6.25,6.55,6.12,6.43,2250690.0
2012-11-05,6.43,6.52,6.23,6.46,1724870.0
2012-11-06,6.48,6.71,6.44,6.59,2311390.0
2012-11-07,6.51,6.55,6.2,6.25,2662655.0
2012-11-08,6.17,6.32,6.14,6.18,1439640.0
2012-11-09,6.18,6.31,5.94,6.01,2050995.0
2012-11-12,6.0,6.2,5.9,5.93,2686345.0
2012-11-13,6.1,6.1,5.68,5.9,2754690.0
2012-11-14,6.08,6.12,5.63,5.74,2513690.0
2012-11-15,5.67,6.4,5.66,6.36,35254010.0
2012-11-16,6.69,6.9,5.89,6.07,8991255.0
2012-11-19,6.1,6.29,5.76,6.21,6192660.0
2012-11-20,6.19,6.75,6.14,6.33,4905560.0
2012-11-21,6.21,6.43,5.98,6.24,8292225.0
2012-11-23,6.24,6.24,6.1,6.15,933040.0
2012-11-26,5.72,6.17,5.72,6.1,3953880.0
2012-11-27,6.11,6.16,5.84,6.06,5486945.0
2012-11-28,6.1,6.28,6.0,6.24,2233025.0
2012-11-29,6.31,6.56,6.22,6.46,3578550.0
2012-11-30,6.45,6.6,6.22,6.53,12301755.0
2012-12-03,6.51,6.53,6.23,6.41,5060950.0
2012-12-04,6.4,6.48,5.95,6.04,6394820.0
2012-12-05,6.1,6.1,5.7,5.88,6573860.0
2012-12-06,5.88,5.93,5.82,5.89,3257025.0
2012-12-07,5.9,5.92,5.77,5.86,1869045.0
2012-12-10,5.88,5.95,5.85,5.89,954610.0
2012-12-11,5.93,6.05,5.88,5.97,2359155.0
2012-12-12,6.01,6.26,5.88,6.13,4172735.0
2012-12-13,6.07,6.19,5.96,6.07,2051315.0
2012-12-14,6.06,6.19,6.0,6.11,1869605.0
2012-12-17,6.1,6.23,6.0,6.22,1913655.0
2012-12-18,6.2,6.6,6.2,6.53,4169565.0
2012-12-19,6.57,6.57,6.39,6.49,2196845.0
2012-12-20,6.46,6.57,6.45,6.57,1719340.0
2012-12-21,6.5,6.55,6.45,6.5,3112525.0
2012-12-24,6.45,6.51,6.18,6.33,3388280.0
2012-12-26,6.17,6.19,5.88,5.99,17151700.0
2012-12-27,5.9,6.0,5.85,5.9,6174350.0
2012-12-28,5.83,5.9,5.78,5.81,5534985.0
2012-12-31,5.79,6.05,5.78,6.01,6236905.0
2013-01-02,6.15,6.15,5.84,6.04,7627375.0
2013-01-03,6.02,6.08,5.88,5.94,4315090.0
2013-01-04,5.96,5.97,5.79,5.8,5171780.0
2013-01-07,5.71,5.82,5.4,5.47,12584850.0
2013-01-08,5.47,5.52,5.12,5.24,14135340.0
2013-01-09,5.27,5.33,5.11,5.27,7151695.0
2013-01-10,5.29,5.32,5.23,5.29,3455555.0
2013-01-11,5.32,5.5,5.29,5.49,5668680.0
2013-01-14,5.44,5.46,5.19,5.21,5235345.0
2013-01-15,5.21,5.5,5.12,5.44,6195035.0
2013-01-16,5.45,5.5,5.37,5.47,3989595.0
2013-01-17,5.48,5.56,5.45,5.52,4765065.0
2013-01-18,5.51,5.55,5.43,5.48,1959815.0
2013-01-22,5.43,5.54,5.37,5.52,4528475.0
2013-01-23,5.51,5.6,5.49,5.59,3007870.0
2013-01-24,5.53,5.92,5.4,5.9,8650400.0
2013-01-25,5.91,6.3,5.88,6.22,7648950.0
2013-01-28,6.18,6.29,6.14,6.25,4722755.0
2013-01-29,6.18,6.25,5.98,6.04,5554965.0
2013-01-30,6.01,6.1,5.71,5.79,12512810.0
2013-01-31,5.55,6.1,5.53,5.54,17703180.0
2013-02-01,5.27,5.77,5.14,5.61,41216435.0
2013-02-04,5.6,5.83,5.54,5.79,8251210.0
2013-02-05,5.78,5.98,5.72,5.96,9548440.0
