date,open,high,low,close,volume
2012-07-20,9.19,10.35,8.85,8.86,42096340.0
2012-07-23,8.77,9.0,8.52,8.59,4730302.0
2012-07-24,8.66,9.34,8.59,9.25,4300216.0
2012-07-25,9.41,9.84,9.21,9.82,3597646.0
2012-07-26,9.96,10.31,9.68,9.98,2566804.0
2012-07-27,10.14,10.14,9.5,9.5,920110.0
2012-07-30,9.47,9.47,8.98,9.16,1658356.0
2012-07-31,9.16,9.53,8.7,9.53,1712404.0
2012-08-01,9.79,9.79,9.19,9.37,664852.0
2012-08-02,9.28,10.0,8.88,9.19,995824.0
2012-08-03,9.44,9.48,9.04,9.13,1745056.0
2012-08-06,9.29,9.32,8.95,9.13,937342.0
2012-08-07,9.16,9.57,9.09,9.46,2194390.0
2012-08-08,9.37,10.16,9.31,10.15,3023626.0
2012-08-09,10.16,10.41,9.97,10.22,1758778.0
2012-08-10,10.16,10.66,10.08,10.22,1710160.0
2012-08-13,10.19,10.52,10.0,10.46,1331980.0
2012-08-14,10.69,10.72,9.89,9.96,2841898.0
2012-08-15,9.94,10.48,9.62,10.46,1522414.0
2012-08-16,10.59,11.15,10.31,11.09,2231176.0
2012-08-17,11.19,11.41,10.8,11.21,2307340.0
2012-08-20,11.13,11.19,10.83,10.91,1619920.0
2012-08-21,10.91,11.07,10.54,10.72,1485394.0
2012-08-22,10.85,10.86,10.52,10.54,747910.0
2012-08-23,10.54,10.81,10.41,10.69,1291216.0
2012-08-24,10.57,10.96,10.54,10.79,1217248.0
2012-08-27,10.84,10.97,10.44,10.62,1061650.0
2012-08-28,10.62,10.73,10.48,10.65,624910.0
2012-08-29,10.71,10.85,10.52,10.79,971932.0
2012-08-30,10.79,11.11,10.54,10.57,1379122.0
2012-08-31,10.74,10.77,10.52,10.73,553414.0
2012-09-04,10.88,11.71,10.65,11.7,4606804.0
2012-09-05,12.1,12.1,11.52,11.66,2837848.0
2012-09-06,11.79,12.0,11.73,11.9,1348396.0
2012-09-07,12.03,12.04,11.56,11.79,3541018.0
2012-09-10,11.92,12.1,11.86,11.96,8309326.0
2012-09-11,11.13,11.63,10.72,11.1,18155002.0
2012-09-12,11.28,11.38,10.79,10.81,4134262.0
2012-09-13,10.79,11.37,10.79,11.33,4606612.0
2012-09-14,11.43,11.49,11.14,11.16,2547976.0
2012-09-17,11.12,11.33,11.1,11.32,890224.0
2012-09-18,11.17,11.72,11.17,11.53,2594980.0
2012-09-19,11.49,11.49,11.25,11.34,2348434.0
2012-09-20,11.12,11.23,10.78,10.84,1551604.0
2012-09-21,10.91,10.91,10.38,10.67,3152248.0
2012-09-24,10.66,10.81,10.4,10.78,1827754.0
2012-09-25,10.9,11.09,10.69,10.7,2271526.0
2012-09-26,10.66,10.66,10.43,10.54,2356132.0
2012-09-27,10.66,10.87,10.56,10.85,2256568.0
2012-09-28,10.84,10.88,10.21,10.26,6389674.0
2012-10-01,10.27,10.53,10.04,10.1,2384560.0
2012-10-02,10.28,10.4,9.99,10.34,2213944.0
2012-10-03,10.47,11.04,10.36,10.97,4986148.0
2012-10-04,10.97,10.99,10.76,10.96,1057216.0
2012-10-05,10.88,10.94,10.14,10.34,4582990.0
2012-10-08,10.39,10.47,10.24,10.35,1181746.0
2012-10-09,10.2,10.48,10.16,10.32,1481980.0
2012-10-10,10.27,10.59,10.23,10.24,3275074.0
2012-10-11,10.35,10.41,10.13,10.16,1774336.0
2012-10-12,10.41,10.53,10.18,10.49,1922386.0
2012-10-15,10.52,10.96,10.48,10.93,1770358.0
2012-10-16,10.98,10.99,10.71,10.93,1565200.0
2012-10-17,10.87,11.16,10.75,10.91,4474678.0
2012-10-18,10.68,10.68,10.28,10.31,24424210.0
2012-10-19,10.3,10.46,9.84,10.01,5164462.0
2012-10-22,10.02,10.19,10.0,10.0,3093616.0
2012-10-23,10.0,10.03,9.59,9.96,5323000.0
2012-10-24,10.09,10.09,9.81,9.96,2004052.0
2012-10-25,10.02,10.02,9.62,9.68,2664694.0
2012-10-26,9.78,9.78,9.37,9.38,5200096.0
2012-10-31,9.4,9.53,9.0,9.16,6796828.0
2012-11-01,9.29,9.51,9.07,9.37,4828666.0
2012-11-02,9.41,9.46,9.04,9.1,2952850.0
2012-11-05,9.16,9.45,9.05,9.3,3884992.0
2012-11-06,9.3,9.44,9.09,9.23,2161666.0
2012-11-07,9.14,9.21,8.97,8.98,908668.0
2012-11-08,8.97,9.14,8.61,8.66,3613336.0
2012-11-09,8.62,8.89,8.59,8.66,1946164.0
2012-11-12,8.67,8.81,8.63,8.71,1360312.0
2012-11-13,8.79,8.95,8.76,8.87,2869216.0
2012-11-14,9.0,9.03,8.59,8.73,2220796.0
2012-11-15,8.99,8.99,8.43,8.56,1356976.0
2012-11-16,8.45,8.95,8.34,8.88,4039180.0
2012-11-19,8.96,9.34,8.96,9.34,3178504.0
2012-11-20,9.29,9.34,9.0,9.07,1826500.0
2012-11-21,9.03,9.26,8.99,9.24,2382568.0
2012-11-23,9.33,9.38,9.21,9.23,388948.0
2012-11-26,9.19,9.34,8.99,9.31,2030692.0
2012-11-27,9.2,9.55,9.19,9.34,1379728.0
2012-11-28,9.22,9.27,8.82,9.1,1913836.0
2012-11-29,9.12,9.38,9.02,9.31,2075476.0
2012-11-30,9.34,9.34,8.86,9.07,8837932.0
2012-12-03,9.07,9.07,8.56,8.61,3480844.0
2012-12-04,8.76,8.95,8.6,8.94,4148860.0
2012-12-05,8.9,9.01,8.61,8.69,1940656.0
2012-12-06,8.74,9.1,8.43,8.55,6734980.0
2012-12-07,8.34,8.69,7.94,8.55,13166896.0
2012-12-10,8.54,8.58,8.09,8.13,3752980.0
2012-12-11,8.3,8.3,7.99,8.15,5647018.0
2012-12-12,8.21,8.39,8.06,8.21,4076338.0
2012-12-13,8.14,8.2,8.01,8.16,3937840.0
2012-12-14,8.15,8.32,8.1,8.3,2623486.0
2012-12-17,8.3,8.49,8.26,8.34,4062256.0
2012-12-18,8.41,8.99,8.35,8.66,5878966.0
2012-12-19,8.66,8.76,8.55,8.68,2896618.0
2012-12-20,8.75,8.82,8.54,8.63,1523908.0
2012-12-21,8.54,9.12,8.36,9.11,7469434.0
2012-12-24,8.98,9.16,8.98,9.13,1478044.0
2012-12-26,9.11,9.15,8.86,8.88,2699644.0
2012-12-27,8.86,8.93,8.46,8.81,3122578.0
2012-12-28,8.71,8.99,8.66,8.77,1904584.0
2012-12-31,8.81,8.95,8.66,8.92,2082004.0
2013-01-02,9.09,9.31,8.41,8.54,8351452.0
2013-01-03,8.63,8.63,8.14,8.22,8008042.0
2013-01-04,8.3,8.36,8.0,8.04,7781410.0
2013-01-07,8.02,8.16,7.83,7.87,7133416.0
2013-01-08,7.93,8.14,7.83,7.94,5110228.0
2013-01-09,8.04,8.38,8.04,8.33,5405986.0
2013-01-10,8.37,8.61,8.22,8.44,4754662.0
2013-01-11,8.45,8.85,8.45,8.8,7625644.0
2013-01-14,8.76,8.91,8.66,8.72,7576810.0
2013-01-15,8.66,9.04,8.64,9.01,5595922.0
2013-01-16,9.07,9.3,8.86,9.13,7345000.0
2013-01-17,9.16,9.16,8.92,9.08,3930586.0
2013-01-18,9.36,9.45,9.16,9.22,8177026.0
2013-01-22,9.23,9.29,9.06,9.21,2750464.0
2013-01-23,9.06,9.37,9.05,9.31,4445722.0
2013-01-24,9.29,9.38,9.21,9.34,3321034.0
2013-01-25,9.34,9.48,9.25,9.46,5057458.0
2013-01-28,9.44,9.61,9.15,9.57,6626476.0
2013-01-29,9.54,9.54,9.29,9.47,3223816.0
2013-01-30,9.46,9.46,8.91,8.99,6612058.0
2013-01-31,9.21,9.29,8.93,9.22,5318176.0
2013-02-01,9.28,9.35,8.98,9.07,6988174.0
2013-02-04,9.21,9.21,8.84,8.89,2144350.0
2013-02-05,8.9,9.04,8.81,8.97,2632894.0
2013-02-06,8.96,9.07,8.84,9.03,2556352.0
2013-02-07,9.01,9.06,8.9,9.03,2629792.0
2013-02-08,9.01,9.18,8.98,9.18,3178216.0
2013-02-11,9.18,9.24,9.13,9.16,1613806.0
2013-02-12,9.16,9.49,9.12,9.45,4550908.0
2013-02-13,9.41,9.45,9.14,9.2,3909628.0
2013-02-14,9.16,9.34,9.13,9.29,2172010.0
2013-02-15,9.35,9.4,9.17,9.2,1666972.0
2013-02-19,9.27,9.41,9.22,9.25,1913458.0
2013-02-20,9.28,9.32,9.1,9.13,2659018.0
2013-02-21,9.15,9.19,8.96,9.11,3399106.0
2013-02-22,9.26,9.58,9.16,9.55,7002934.0
2013-02-25,9.64,9.69,9.34,9.54,3614668.0
2013-02-26,9.5,9.57,9.34,9.5,4712506.0
2013-02-27,9.55,9.96,9.31,9.65,9679846.0
2013-02-28,9.66,10.19,9.5,10.19,14557558.0
2013-03-01,9.76,10.37,9.57,9.76,19302628.0
2013-03-04,9.38,9.57,9.14,9.34,29025454.0
2013-03-05,9.35,9.51,9.27,9.47,10157236.0
