date,open,high,low,close,volume
2004-01-02,10.35,10.75,10.23,10.5,544900.0
2004-01-05,10.55,10.68,10.1,10.12,910300.0
2004-01-06,10.09,10.36,10.04,10.08,618700.0
2004-01-07,10.13,10.43,9.9,10.4,739200.0
2004-01-08,10.4,10.56,10.29,10.48,388900.0
2004-01-09,10.11,10.7,10.01,10.1,970500.0
2004-01-12,10.02,10.29,9.45,9.46,1625600.0
2004-01-13,9.58,9.6,9.45,9.5,1144800.0
2004-01-14,9.6,9.71,9.48,9.68,419400.0
2004-01-15,9.49,10.08,9.38,9.89,877500.0
2004-01-16,9.83,10.15,9.75,10.06,1125500.0
2004-01-20,10.35,10.36,9.7,10.06,1077800.0
2004-01-21,9.86,10.76,9.83,10.27,957200.0
2004-01-22,10.28,10.55,10.14,10.3,859300.0
2004-01-23,10.44,10.49,10.28,10.45,529100.0
2004-01-26,10.21,10.52,10.07,10.48,604400.0
2004-01-27,10.44,10.51,9.8,9.87,852500.0
2004-01-28,9.95,10.23,9.88,10.13,1044700.0
2004-01-29,10.09,10.2,9.69,10.09,527600.0
2004-01-30,10.0,10.19,9.74,9.91,372700.0
2004-02-02,9.76,10.09,9.72,9.79,846700.0
2004-02-03,9.31,9.83,9.28,9.8,959600.0
2004-02-04,9.64,9.74,9.4,9.42,919600.0
2004-02-05,9.58,9.74,9.45,9.63,559500.0
2004-02-06,9.55,9.77,9.48,9.75,622400.0
2004-02-09,9.69,10.19,9.65,10.15,624500.0
2004-02-10,9.8,10.26,9.7,10.17,808000.0
2004-02-11,10.15,10.3,10.02,10.18,610400.0
2004-02-12,10.17,10.35,10.05,10.14,639200.0
2004-02-13,10.07,10.45,10.06,10.31,757700.0
2004-02-17,10.26,10.9,10.26,10.72,1468400.0
2004-02-18,10.9,11.15,10.87,10.91,1076100.0
2004-02-19,11.05,11.32,10.49,10.58,801600.0
2004-02-20,10.69,10.69,10.09,10.21,1320800.0
2004-02-23,12.2,12.2,10.9,10.97,10771000.0
2004-02-24,10.78,11.27,10.46,11.0,2006500.0
2004-02-25,11.0,11.31,10.8,11.15,1143900.0
2004-02-26,11.15,11.32,11.0,11.29,754700.0
2004-02-27,11.51,11.57,11.12,11.27,846500.0
2004-03-01,11.41,11.41,10.96,10.97,751600.0
2004-03-02,10.96,11.23,10.91,11.16,775100.0
2004-03-03,11.05,11.17,10.8,11.1,654800.0
2004-03-04,10.97,11.4,10.97,11.37,673200.0
2004-03-05,11.15,11.51,11.09,11.31,533200.0
2004-03-08,11.47,11.5,10.84,11.01,592200.0
2004-03-09,11.1,11.15,10.47,10.52,850100.0
2004-03-10,10.47,10.88,10.15,10.17,761300.0
2004-03-11,10.19,10.55,9.99,10.0,812900.0
2004-03-12,10.09,10.44,10.0,10.22,559700.0
2004-03-15,10.14,10.19,9.59,9.6,814400.0
2004-03-16,9.74,9.94,9.27,9.46,892800.0
2004-03-17,9.6,9.92,9.47,9.5,920700.0
2004-03-18,9.5,9.82,9.39,9.65,716000.0
2004-03-19,9.92,9.92,9.49,9.5,570200.0
2004-03-22,9.37,9.39,8.89,9.07,785500.0
2004-03-23,9.29,9.3,8.9,9.12,523900.0
2004-03-24,9.11,9.25,8.82,8.9,610600.0
2004-03-25,8.91,9.71,8.87,9.35,932200.0
2004-03-26,9.42,9.54,9.15,9.2,478900.0
2004-03-29,9.28,9.7,9.23,9.55,552300.0
2004-03-30,9.47,9.68,9.33,9.67,331200.0
2004-03-31,9.69,9.7,9.27,9.42,338800.0
2004-04-01,9.43,9.73,9.38,9.64,439700.0
2004-04-02,9.76,9.9,9.4,9.85,706100.0
2004-04-05,9.83,9.92,9.65,9.92,446600.0
2004-04-06,9.71,9.87,9.41,9.41,915700.0
2004-04-07,9.44,9.78,9.21,9.78,592000.0
2004-04-08,9.78,9.84,9.44,9.46,351400.0
2004-04-12,9.43,9.75,9.43,9.59,233700.0
2004-04-13,9.55,9.74,8.92,8.93,661500.0
2004-04-14,9.11,9.39,8.9,9.16,670800.0
2004-04-15,9.09,9.24,8.39,8.86,682700.0
2004-04-16,8.89,9.07,8.62,8.64,917600.0
2004-04-19,8.65,9.12,8.65,9.07,594000.0
2004-04-20,9.29,9.35,8.56,8.56,535000.0
2004-04-21,8.55,9.27,8.55,9.27,862000.0
2004-04-22,9.28,9.55,9.08,9.25,1129500.0
2004-04-23,9.26,9.37,8.82,9.03,792800.0
2004-04-26,9.15,9.33,8.92,9.1,702200.0
2004-04-27,9.28,9.64,9.14,9.42,2129500.0
2004-04-28,9.39,9.5,8.99,9.12,971300.0
2004-04-29,9.12,9.34,8.98,9.1,908000.0
2004-04-30,9.1,9.2,8.64,8.64,818600.0
2004-05-03,8.68,9.29,8.6,9.02,759800.0
2004-05-04,9.24,9.54,8.81,9.24,2461500.0
2004-05-05,9.13,9.5,9.11,9.3,552600.0
2004-05-06,9.27,9.32,8.73,8.91,518300.0
2004-05-07,8.91,9.1,8.53,8.53,729100.0
2004-05-10,8.53,9.2,8.29,8.68,1185100.0
2004-05-11,8.82,9.01,8.65,8.77,412700.0
2004-05-12,8.61,9.0,8.34,8.96,642800.0
2004-05-13,9.0,9.05,8.5,8.5,538400.0
2004-05-14,8.51,8.76,8.24,8.31,809700.0
2004-05-17,8.27,8.75,8.0,8.22,800100.0
2004-05-18,8.3,8.58,8.11,8.43,784600.0
2004-05-19,8.43,8.52,8.17,8.3,1099200.0
2004-05-20,8.35,8.72,8.17,8.17,814200.0
2004-05-21,8.72,9.0,8.06,8.69,2147000.0
2004-05-24,8.69,8.88,8.56,8.79,811500.0
2004-05-25,8.68,8.85,8.56,8.65,722100.0
2004-05-26,8.73,8.94,8.54,8.94,743000.0
2004-05-27,8.96,9.09,8.57,8.77,600400.0
2004-05-28,8.75,8.86,8.66,8.8,252600.0
2004-06-01,9.25,9.28,8.9,9.27,789900.0
2004-06-02,9.21,9.34,9.01,9.14,516100.0
2004-06-03,9.12,9.23,8.8,8.8,513400.0
2004-06-04,8.92,9.25,8.76,9.25,652800.0
2004-06-07,9.25,9.3,9.0,9.19,919900.0
2004-06-08,9.2,9.48,9.1,9.22,676800.0
2004-06-09,9.13,9.34,8.87,8.98,690600.0
2004-06-10,9.05,9.25,9.01,9.25,1670000.0
2004-06-14,9.4,9.62,9.2,9.48,984300.0
2004-06-15,9.59,9.66,9.4,9.65,786600.0
2004-06-16,9.55,9.75,9.47,9.65,481700.0
2004-06-17,9.71,9.71,9.46,9.55,448900.0
2004-06-18,9.7,10.33,9.56,9.93,1749400.0
2004-06-21,9.98,10.04,9.73,9.73,627900.0
2004-06-22,10.45,10.66,10.02,10.15,1881300.0
2004-06-23,10.57,10.57,10.15,10.49,1482600.0
2004-06-24,10.44,10.86,10.41,10.72,969700.0
2004-06-25,10.67,10.97,10.41,10.58,1294200.0
2004-06-28,10.94,10.94,10.32,10.5,439000.0
2004-06-29,10.43,10.98,10.34,10.74,768400.0
2004-06-30,10.79,10.99,10.72,10.84,629600.0
2004-07-01,10.77,11.19,10.65,10.74,786000.0
2004-07-02,10.79,10.85,10.54,10.59,518700.0
2004-07-06,10.58,10.76,10.31,10.34,506300.0
2004-07-07,10.39,10.74,10.34,10.74,675500.0
2004-07-08,10.65,10.7,10.0,10.04,701800.0
2004-07-09,10.14,10.27,9.91,10.02,333400.0
2004-07-12,10.09,10.24,9.77,10.16,449100.0
2004-07-13,10.2,10.33,10.04,10.09,282700.0
2004-07-14,10.0,10.2,9.8,10.06,622300.0
2004-07-15,10.0,10.17,9.86,9.9,279300.0
2004-07-16,10.53,10.65,9.81,9.82,1060400.0
